um,LCaudalDorsal,LRostralDorsal,LRostralVentral,LCaudalVentral,RCaudalDorsal,RRostralDorsal,RRostralVentral,RCaudalVentral
1100,20661,88740,0,0,0,0,0,0
1000,55353,133536,0,0,0,0,0,0
900,27860,331620,0,0,0,0,0,0
800,157721,384738,0,0,0,0,0,0
700,150089,350661,0,0,0,0,0,0
600,28755,99122,0,0,62876,0,0,0
500,43413,77596,0,0,226076,0,0,0
400,79797,156100,0,0,225644,0,0,87681
300,77802,152198,0,0,,,,
200,194261,57978,0,97762,,,,
100,316952,94595,0,159506,,,,
