um,LCaudalDorsal,LRostralDorsal,LRostralVentral,LCaudalVentral,RCaudalDorsal,RRostralDorsal,RRostralVentral,RCaudalVentral
1100,0,0,0,0,133500,0,0,187238
1000,0,0,0,0,138962,0,0,118516
900,81954,0,0,58716,170729,0,0,169409
800,47220,0,0,71395,197719,11155,0,216374
700,,,,,294717,0,0,382781
600,,,,,447567,15926,0,122982
500,,,,,267102,9504,0,73394
400,,,,,,,,
300,,,,,,,,
200,,,,,,,,
100,,,,,,,,
