um,LCaudalDorsal,LRostralDorsal,LRostralVentral,LCaudalVentral,RCaudalDorsal,RRostralDorsal,RRostralVentral,RCaudalVentral
1100,48932,0,0,67507,0,0,0,0
1000,104098,0,0,158144,0,0,0,43855
900,94675,0,0,147996,0,0,0,67275
800,209386,0,0,156049,0,0,0,54830
700,309797,0,0,219948,0,0,0,114339
600,2431272,84464,0,209604,36905,0,0,110893
500,302025,0,0,178391,45827,0,0,71974
400,279066,0,0,189598,67828,0,0,122652
300,,,,,0,0,0,0
200,,,,,,,,
100,,,,,,,,
