um,LCaudalDorsal,LRostralDorsal,LRostralVentral,LCaudalVentral,RCaudalDorsal,RRostralDorsal,RRostralVentral,RCaudalVentral
1100,271009,608782,0,146219,0,631871,0,0
1000,192896,595620,0,77048,19381,701842,0,0
900,163157,561414,53549,15142,33004,609235,0,0
800,284633,257301,0,13832,40486,557182,0,0
700,,,,,44861,460062,0,0
600,,,,,,,,
500,,,,,,,,
400,,,,,,,,
300,,,,,,,,
200,,,,,,,,
100,,,,,,,,
