um,LCaudalDorsal,LRostralDorsal,LRostralVentral,LCaudalVentral,RCaudalDorsal,RRostralDorsal,RRostralVentral,RCaudalVentral
1100,0,0,0,0,0,0,0,0
1000,0,0,0,0,240296,0,0,0
900,0,0,0,0,127537,0,0,0
800,94278,0,0,0,54536,0,0,0
700,88759,0,0,0,103618,0,0,0
600,95270,55929,0,0,144204,0,0,0
500,70959,89969,0,0,88644,0,0,0
400,190173,120302,0,8145,0,0,0,0
300,191938,110708,0,23905,,,,
200,101303,152388,0,0,,,,
100,62843,94533,0,0,,,,
