um,LCaudalDorsal,LRostralDorsal,LRostralVentral,LCaudalVentral,RCaudalDorsal,RRostralDorsal,RRostralVentral,RCaudalVentral
1100,87971,42989,0,0,200386,0,0,49544
1000,125401,38155,0,0,242502,0,0,78987
900,78554,110536,0,0,306780,0,0,40214
800,124053,217881,0,0,590080,0,0,76359
700,182839,216422,0,0,683351,0,0,50550
600,181805,195042,0,0,707853,0,0,0
500,130432,181222,0,0,706512,0,0,21856
400,83703,116297,0,0,620000,0,0,0
300,,,,,,,,
200,,,,,,,,
100,,,,,,,,
