um,LCaudalDorsal,LRostralDorsal,LRostralVentral,LCaudalVentral,RCaudalDorsal,RRostralDorsal,RRostralVentral,RCaudalVentral
1100,0,745917,0,0,0,145721,97147,0
1000,389453,526085,107353,77398,0,413190,450229,0
900,188257,268267,202377,282386,0,438700,516151,0
800,450472,225236,0,75079,,,,
700,318622,56227,217212,0,,,,
600,,,,,,,,
500,,,,,,,,
400,,,,,,,,
300,,,,,,,,
200,,,,,,,,
100,,,,,,,,
