um,LCaudalDorsal,LRostralDorsal,LRostralVentral,LCaudalVentral,RCaudalDorsal,RRostralDorsal,RRostralVentral,RCaudalVentral
1100,59844,326422,46710,112961,98677,378283,234415,274410
1000,115593,245543,0,180924,0,317934,317935,0
900,17900,134164,0,92588,0,180454,180455,0
800,29078,109945,0,48171,0,50507,50508,0
700,31105,96080,0,5227,,,,
600,34277,106095,0,21068,,,,
500,,,,,,,,
400,,,,,,,,
300,,,,,,,,
200,,,,,,,,
100,,,,,,,,
