um,LCaudalDorsal,LRostralDorsal,LRostralVentral,LCaudalVentral,RCaudalDorsal,RRostralDorsal,RRostralVentral,RCaudalVentral
1100,0,0,0,596713,104852,0,269280,254790
1000,0,0,0,657007,32554,163055,260964,220021
900,0,0,0,484332,102069,12388,248883,202097
800,113307,0,0,500697,123725,0,204372,223831
700,116802,0,0,485009,89668,0,148116,162216
600,120982,0,0,527802,67251,0,111087,121662
500,,,,,44834,0,74058,81108
400,,,,,,,,
300,,,,,,,,
200,,,,,,,,
100,,,,,,,,
