,Subject,Counts,Rewarded,Treatment,k
43,GreBla3404M,"(10, 24)",True,NCM,2
44,GraWhi4040F,"(16, 30)",False,NCM,2
45,GraWhi4040F,"(13, 27)",True,NCM,2
46,BlaGre1349M,"(19, 33)",False,NCM,2
47,BlaGre1349M,"(14, 28)",True,NCM,2
48,XXXHpi0038M,"(129, 143)",False,NCM,2
49,XXXHpi0038M,"(46, 60)",True,NCM,2
50,XXXOra0037F,"(15, 29)",False,NCM,2
51,XXXOra0037F,"(9, 23)",True,NCM,2
52,XXXBlu0031M,"(5, 19)",False,NCM,2
53,XXXBlu0031M,"(2, 16)",True,NCM,2
54,HpiGre0651M,"(5, 19)",False,NCM,2
55,HpiGre0651M,"(9, 23)",True,NCM,2
56,RedHpi0710F,"(4, 18)",False,NCM,2
57,RedHpi0710F,"(8, 22)",True,NCM,2
58,WhiBlu5805F,"(8, 22)",False,NCM,2
59,WhiBlu5805F,"(5, 19)",True,NCM,2
60,GreBlu5039F,"(13, 27)",False,NCM,3
61,GreBlu5039F,"(6, 20)",True,NCM,3
62,GreBla3404M,"(7, 21)",False,NCM,3
63,GreBla3404M,"(11, 25)",True,NCM,3
64,GraWhi4040F,"(31, 45)",False,NCM,3
65,GraWhi4040F,"(13, 27)",True,NCM,3
66,BlaGre1349M,"(9, 23)",False,NCM,3
67,BlaGre1349M,"(14, 28)",True,NCM,3
68,XXXHpi0038M,"(87, 101)",False,NCM,3
69,XXXHpi0038M,"(36, 50)",True,NCM,3
70,XXXOra0037F,"(20, 34)",False,NCM,3
71,XXXOra0037F,"(16, 30)",True,NCM,3
72,XXXBlu0031M,"(0, 14)",False,NCM,3
73,XXXBlu0031M,"(4, 18)",True,NCM,3
74,HpiGre0651M,"(10, 24)",False,NCM,3
75,HpiGre0651M,"(5, 19)",True,NCM,3
76,RedHpi0710F,"(7, 21)",False,NCM,3
77,RedHpi0710F,"(7, 21)",True,NCM,3
78,WhiBlu5805F,"(11, 25)",False,NCM,3
79,WhiBlu5805F,"(12, 26)",True,NCM,3
80,GreBlu5039F,"(12, 26)",False,NCM,4
81,GreBlu5039F,"(9, 23)",True,NCM,4
82,GreBla3404M,"(33, 47)",False,NCM,4
83,GreBla3404M,"(24, 38)",True,NCM,4
84,GraWhi4040F,"(18, 32)",False,NCM,4
85,GraWhi4040F,"(17, 31)",True,NCM,4
86,BlaGre1349M,"(19, 33)",False,NCM,4
87,BlaGre1349M,"(7, 21)",True,NCM,4
88,XXXHpi0038M,"(178, 192)",False,NCM,4
89,XXXHpi0038M,"(27, 40)",True,NCM,4
90,XXXOra0037F,"(38, 52)",False,NCM,4
91,XXXOra0037F,"(9, 23)",True,NCM,4
92,XXXBlu0031M,"(18, 32)",False,NCM,4
93,XXXBlu0031M,"(2, 16)",True,NCM,4
94,HpiGre0651M,"(15, 29)",False,NCM,4
95,HpiGre0651M,"(5, 19)",True,NCM,4
96,RedHpi0710F,"(12, 26)",False,NCM,4
97,RedHpi0710F,"(3, 17)",True,NCM,4
98,WhiBlu5805F,"(7, 21)",False,NCM,4
99,WhiBlu5805F,"(2, 16)",True,NCM,4
100,GreBlu5039F,"(21, 35)",False,NCM,5
101,GreBlu5039F,"(0, 14)",True,NCM,5
102,GreBla3404M,"(27, 41)",False,NCM,5
103,GreBla3404M,"(5, 19)",True,NCM,5
104,GraWhi4040F,"(27, 41)",False,NCM,5
105,GraWhi4040F,"(18, 32)",True,NCM,5
106,BlaGre1349M,"(22, 36)",False,NCM,5
107,BlaGre1349M,"(8, 22)",True,NCM,5
108,XXXHpi0038M,"(52, 66)",False,NCM,5
109,XXXHpi0038M,"(32, 45)",True,NCM,5
110,XXXOra0037F,"(22, 36)",False,NCM,5
111,XXXOra0037F,"(6, 20)",True,NCM,5
112,XXXBlu0031M,"(10, 24)",False,NCM,5
113,XXXBlu0031M,"(7, 21)",True,NCM,5
114,HpiGre0651M,"(6, 20)",False,NCM,5
115,HpiGre0651M,"(6, 20)",True,NCM,5
116,RedHpi0710F,"(6, 20)",False,NCM,5
117,RedHpi0710F,"(3, 17)",True,NCM,5
118,WhiBlu5805F,"(4, 18)",False,NCM,5
119,WhiBlu5805F,"(6, 20)",True,NCM,5
120,GreBlu5039F,"(12, 26)",False,NCM,6
121,GreBlu5039F,"(6, 20)",True,NCM,6
122,GreBla3404M,"(19, 33)",False,NCM,6
123,GreBla3404M,"(12, 26)",True,NCM,6
124,GraWhi4040F,"(19, 33)",False,NCM,6
125,GraWhi4040F,"(9, 23)",True,NCM,6
126,BlaGre1349M,"(13, 27)",False,NCM,6
127,BlaGre1349M,"(3, 17)",True,NCM,6
128,XXXHpi0038M,"(74, 88)",False,NCM,6
129,XXXHpi0038M,"(15, 28)",True,NCM,6
130,XXXOra0037F,"(10, 24)",False,NCM,6
131,XXXOra0037F,"(7, 21)",True,NCM,6
132,XXXBlu0031M,"(6, 20)",False,NCM,6
133,XXXBlu0031M,"(3, 17)",True,NCM,6
134,HpiGre0651M,"(8, 22)",False,NCM,6
135,HpiGre0651M,"(16, 30)",True,NCM,6
136,RedHpi0710F,"(5, 19)",False,NCM,6
137,RedHpi0710F,"(3, 17)",True,NCM,6
138,WhiBlu5805F,"(10, 24)",False,NCM,6
139,WhiBlu5805F,"(6, 20)",True,NCM,6
140,GreBlu5039F,"(27, 41)",False,NCM,7
141,GreBlu5039F,"(5, 19)",True,NCM,7
142,GreBla3404M,"(25, 39)",False,NCM,7
143,GreBla3404M,"(8, 22)",True,NCM,7
144,GraWhi4040F,"(15, 29)",False,NCM,7
145,GraWhi4040F,"(14, 28)",True,NCM,7
