Subject,SubjectTreatment,SubjectSex
BluYel2571F,CTRL,F
RedGra7912M,CTRL,M
WhiWhi2526M,CTRL,M
YelPur7906M,CTRL,M
BluWhi0398F,HVC,F
GraYel7337F,HVC,F
BluGre4315M,HVC,M
BluRed8773M,HVC,M
BluWhi3230M,HVC,M
GreWhi2703M,HVC,M
HpiGre8613M,HVC,M
GraWhi4040F,NCM,F
GreBlu5039F,NCM,F
RedHpi0710F,NCM,F
WhiBlu5805F,NCM,F
XXXOra0037F,NCM,F
BlaGre1349M,NCM,M
GreBla3404M,NCM,M
HpiGre0651M,NCM,M
XXXBlu0031M,NCM,M
XXXHpi0038M,NCM,M
