,Subject,Counts,Rewarded,Treatment
0,GreBlu5039F,"(152, 306)",False,NCM
1,GreBlu5039F,"(45, 199)",True,NCM
2,GreBla3404M,"(188, 342)",False,NCM
3,GreBla3404M,"(87, 230)",True,NCM
4,GraWhi4040F,"(167, 321)",False,NCM
5,GraWhi4040F,"(74, 228)",True,NCM
6,BlaGre1349M,"(284, 438)",False,NCM
7,BlaGre1349M,"(24, 178)",True,NCM
8,XXXHpi0038M,"(495, 648)",False,NCM
9,XXXHpi0038M,"(37, 185)",True,NCM
10,XXXOra0037F,"(117, 271)",False,NCM
11,XXXOra0037F,"(91, 245)",True,NCM
12,XXXBlu0031M,"(140, 283)",False,NCM
13,XXXBlu0031M,"(64, 207)",True,NCM
14,HpiGre0651M,"(60, 203)",False,NCM
15,HpiGre0651M,"(16, 159)",True,NCM
16,RedHpi0710F,"(48, 191)",False,NCM
17,RedHpi0710F,"(29, 172)",True,NCM
18,WhiBlu5805F,"(75, 218)",False,NCM
19,WhiBlu5805F,"(23, 166)",True,NCM
20,BluWhi0398F,"(227, 381)",False,HVC
21,BluWhi0398F,"(69, 223)",True,HVC
22,BluWhi3230M,"(298, 426)",False,HVC
23,BluWhi3230M,"(13, 140)",True,HVC
24,GraYel7337F,"(248, 402)",False,HVC
25,GraYel7337F,"(9, 163)",True,HVC
26,GreWhi2703M,"(514, 638)",False,HVC
27,GreWhi2703M,"(27, 150)",True,HVC
28,HpiGre8613M,"(104, 258)",False,HVC
29,HpiGre8613M,"(21, 175)",True,HVC
30,BluGre4315M,"(485, 639)",False,HVC
31,BluGre4315M,"(5, 159)",True,HVC
32,BluRed8773M,"(448, 600)",False,HVC
33,BluRed8773M,"(36, 189)",True,HVC
34,BluYel2571F,"(648, 797)",False,CTRL
35,BluYel2571F,"(69, 223)",True,CTRL
36,YelPur7906M,"(136, 290)",False,CTRL
37,YelPur7906M,"(27, 181)",True,CTRL
38,WhiWhi2526M,"(545, 677)",False,CTRL
39,WhiWhi2526M,"(30, 162)",True,CTRL
40,RedGra7912M,"(1172, 1323)",False,CTRL
41,RedGra7912M,"(36, 190)",True,CTRL
